Search Type, N, Target, Guesses
Binary Search: Size 82500 | Average Guesses =  15.9
Binary Search: Size 83500 | Average Guesses =  16.2
Linear Search: Size 82500 | Average Guesses = 43178 
Linear Search: Size 83500 | Average Guesses = 40369.8 
Linear Search: Size 84500 | Average Guesses = 48959.8 
Binary Search: Size 84500 | Average Guesses =  16.1
Linear Search: Size 85000 | Average Guesses = 36902.1 
Binary Search: Size 85000 | Average Guesses =  14.8
Linear Search: Size 84000 | Average Guesses = 38681.4 
Linear Search: Size 85500 | Average Guesses = 40744.2 
Linear Search: Size 86000 | Average Guesses = 37276.7 
Binary Search: Size 85500 | Average Guesses =  16
Linear Search: Size 86500 | Average Guesses = 18131.2 
Binary Search: Size 86500 | Average Guesses =  14.9
Linear Search: Size 87000 | Average Guesses = 42114.8 
Binary Search: Size 87000 | Average Guesses =  16
Linear Search: Size 87500 | Average Guesses = 45722.4 
Binary Search: Size 87500 | Average Guesses =  14.8
Binary Search: Size 88000 | Average Guesses =  15.6
Linear Search: Size 88000 | Average Guesses = 43265 
Linear Search: Size 88500 | Average Guesses = 42984.4 
Binary Search: Size 88500 | Average Guesses =  16.1
Linear Search: Size 89000 | Average Guesses = 50968.8 
Binary Search: Size 86000 | Average Guesses =  15.2
Linear Search: Size 89500 | Average Guesses = 59481.2 
Binary Search: Size 89500 | Average Guesses =  16.1
Linear Search: Size 90000 | Average Guesses = 26730.2 
Binary Search: Size 90000 | Average Guesses =  16
Binary Search: Size 90500 | Average Guesses =  15.2
Linear Search: Size 90500 | Average Guesses = 45156.3 
Linear Search: Size 91000 | Average Guesses = 48211.2 
Binary Search: Size 91000 | Average Guesses =  15.8
Linear Search: Size 91500 | Average Guesses = 56826.5 
Binary Search: Size 91500 | Average Guesses =  15.4
Linear Search: Size 92000 | Average Guesses = 48695.8 
Binary Search: Size 92000 | Average Guesses =  15.2
Binary Search: Size 92500 | Average Guesses =  15.7
Linear Search: Size 92500 | Average Guesses = 48022.7 
Binary Search: Size 93000 | Average Guesses =  15.9
Linear Search: Size 93000 | Average Guesses = 31170.2 
Linear Search: Size 93500 | Average Guesses = 40682.2 
Binary Search: Size 93500 | Average Guesses =  15.8
Linear Search: Size 83000 | Average Guesses = 53771.1 
Linear Search: Size 94000 | Average Guesses = 49828.7 
Binary Search: Size 84000 | Average Guesses =  15.6
Binary Search: Size 94500 | Average Guesses =  16.5
Linear Search: Size 95000 | Average Guesses = 50349.5 
Binary Search: Size 95000 | Average Guesses =  16
Linear Search: Size 95500 | Average Guesses = 40431 
Binary Search: Size 95500 | Average Guesses =  15.2
Linear Search: Size 96000 | Average Guesses = 42105.5 
Binary Search: Size 96000 | Average Guesses =  16
Linear Search: Size 96500 | Average Guesses = 40024.4 
Binary Search: Size 94000 | Average Guesses =  16.3
Linear Search: Size 97000 | Average Guesses = 31071.5 
Binary Search: Size 97000 | Average Guesses =  15
