Sort Type, N, Average Runtime
SELECTION SORT, 58000, 2650.529324889183
SELECTION SORT, 65000, 3307.9125249028207
SELECTION SORT, 66000, 3429.3180124163628
SELECTION SORT, 64000, 3197.0201499819755
SELECTION SORT, 68000, 3618.0890168190003
SELECTION SORT, 69000, 3733.315070807934
SELECTION SORT, 70000, 3840.344066667557
SELECTION SORT, 71000, 3965.459687387943
SELECTION SORT, 67000, 3529.846516597271
SELECTION SORT, 57000, 2560.4969709157945
SELECTION SORT, 74000, 4299.019429194927
SELECTION SORT, 75000, 4403.933225095272
SELECTION SORT, 72000, 4071.9628542900086
SELECTION SORT, 77000, 4648.087141478061
SELECTION SORT, 78000, 4777.8352416038515
SELECTION SORT, 73000, 4178.136796021461
SELECTION SORT, 76000, 4528.164362585545
SELECTION SORT, 81000, 5151.351258409023
SELECTION SORT, 63000, 3116.8016666054727
SELECTION SORT, 79000, 4904.721699881554
SELECTION SORT, 83000, 5408.341762268543
SELECTION SORT, 85000, 5769.7025289416315
SELECTION SORT, 86000, 5883.834212815762
SELECTION SORT, 87000, 6016.001704096794
SELECTION SORT, 88000, 6174.248020923138
SELECTION SORT, 89000, 6323.695466709137
SELECTION SORT, 90000, 6464.921816825867
SELECTION SORT, 91000, 6591.300933396817
SELECTION SORT, 92000, 6748.107258009911
SELECTION SORT, 93000, 6899.781050050258
SELECTION SORT, 94000, 7054.463395822048
SELECTION SORT, 95000, 7174.01336672306
SELECTION SORT, 96000, 7298.406021022796
SELECTION SORT, 97000, 7416.232824909687
SELECTION SORT, 98000, 7610.38664599657
SELECTION SORT, 99000, 7772.9815752148625
SELECTION SORT, 100000, 7927.195541608334
SELECTION SORT, 82000, 5273.968683505058
SELECTION SORT, 84000, 5552.061008405685
INSERTION SORT, 53000, 1041.7976752281188
INSERTION SORT, 54000, 1075.25897077322
INSERTION SORT, 55000, 1122.235262608528
INSERTION SORT, 56000, 1152.3741710186005
INSERTION SORT, 57000, 1206.5380540013314
INSERTION SORT, 58000, 1252.7359084129334
INSERTION SORT, 59000, 1289.0519626140594
INSERTION SORT, 60000, 1334.1507415056228
INSERTION SORT, 52000, 1004.0555001735687
SELECTION SORT, 80000, 5018.9182501196865
INSERTION SORT, 63000, 1468.9473375320435
INSERTION SORT, 51000, 957.2616499900818
INSERTION SORT, 65000, 1571.1736419200897
INSERTION SORT, 66000, 1608.806733441353
INSERTION SORT, 67000, 1664.874958205223
INSERTION SORT, 68000, 1710.1197665929794
INSERTION SORT, 69000, 1777.494416487217
INSERTION SORT, 70000, 1817.9193792939186
INSERTION SORT, 71000, 1865.4072624921798
INSERTION SORT, 72000, 1916.250174987316
INSERTION SORT, 73000, 1971.9898666977883
INSERTION SORT, 74000, 2030.5408917069435
INSERTION SORT, 75000, 2074.0786916017532
INSERTION SORT, 61000, 1384.176487505436
INSERTION SORT, 77000, 2189.3953834891317
INSERTION SORT, 78000, 2251.6960541248322
INSERTION SORT, 79000, 2306.916870713234
INSERTION SORT, 62000, 1416.809091901779
INSERTION SORT, 81000, 2420.3916875958444
INSERTION SORT, 82000, 2478.4326293230056
INSERTION SORT, 64000, 1509.3589748859406
INSERTION SORT, 84000, 2609.15355424881
INSERTION SORT, 85000, 2664.5820083141325
INSERTION SORT, 86000, 2733.1213748931887
INSERTION SORT, 83000, 2540.8804749011992
INSERTION SORT, 88000, 2845.4692165851593
INSERTION SORT, 89000, 2919.354395711422
INSERTION SORT, 90000, 3002.3446457862856
INSERTION SORT, 91000, 3048.9564457178117
INSERTION SORT, 92000, 3126.7306167840957
INSERTION SORT, 93000, 3205.5753915786745
INSERTION SORT, 76000, 2126.201928973198
INSERTION SORT, 95000, 3328.4353084683416
INSERTION SORT, 96000, 3398.364358484745
INSERTION SORT, 94000, 3262.2990914940833
INSERTION SORT, 98000, 3548.028950083256
INSERTION SORT, 97000, 3484.2075043082236
INSERTION SORT, 100000, 3692.7539415836336
INSERTION SORT, 80000, 2353.238320982456
INSERTION SORT, 87000, 2793.4948500990868
MERGE SORT, 52000, 10.88856236934662
MERGE SORT, 54000, 11.463674998283386
MERGE SORT, 53000, 11.162162399291992
MERGE SORT, 56000, 11.586766588687897
MERGE SORT, 57000, 11.723204183578492
MERGE SORT, 55000, 11.6285040974617
MERGE SORT, 59000, 12.34233341217041
MERGE SORT, 60000, 12.485212516784667
MERGE SORT, 61000, 12.590674901008606
MERGE SORT, 62000, 12.88209581375122
INSERTION SORT, 99000, 3623.7469540834427
MERGE SORT, 51000, 11.81854580640793
MERGE SORT, 58000, 11.85715411901474
MERGE SORT, 63000, 13.160558295249938
MERGE SORT, 66000, 13.713354194164276
MERGE SORT, 65000, 13.278583192825318
MERGE SORT, 68000, 14.197854113578796
MERGE SORT, 67000, 13.96707080602646
MERGE SORT, 71000, 15.114887511730194
MERGE SORT, 72000, 15.528320908546448
MERGE SORT, 70000, 14.721762716770172
MERGE SORT, 64000, 13.253050291538239
MERGE SORT, 74000, 15.8448961019516
MERGE SORT, 69000, 14.519145894050599
MERGE SORT, 77000, 16.637962520122528
MERGE SORT, 76000, 16.32050838470459
MERGE SORT, 73000, 15.750596010684967
MERGE SORT, 80000, 17.128508424758913
MERGE SORT, 81000, 17.41180009841919
MERGE SORT, 82000, 17.49619129896164
MERGE SORT, 78000, 16.63026249408722
MERGE SORT, 84000, 18.12427088022232
MERGE SORT, 85000, 18.383920896053315
MERGE SORT, 75000, 16.144570994377137
MERGE SORT, 79000, 16.908358490467073
MERGE SORT, 88000, 18.952712488174438
MERGE SORT, 89000, 19.064920783042908
MERGE SORT, 86000, 18.66198341846466
MERGE SORT, 83000, 17.763924992084505
MERGE SORT, 90000, 19.507637405395506
MERGE SORT, 93000, 20.65412919521332
MERGE SORT, 94000, 20.420912384986877
MERGE SORT, 95000, 20.739499974250794
MERGE SORT, 96000, 20.870270681381225
MERGE SORT, 97000, 21.059479415416718
MERGE SORT, 98000, 21.138458287715913
MERGE SORT, 99000, 21.463870894908904
MERGE SORT, 87000, 18.71015019416809
MERGE SORT, 100000, 21.76554579734802
MERGE SORT, 91000, 19.56933327913284
MERGE SORT, 92000, 20.28152929544449
